model,trainset_size,trainset_num,agg,strict,ent_type,partial,exact
distilbert-base-multilingual-cased,338,1,max,0.4247714048212801,0.5976724854530342,0.6483790523690773,0.5203657522859517
distilbert-base-multilingual-cased,338,1,simple,0.20235756385068762,0.47478716437459073,0.4328749181401441,0.25147347740667975
distilbert-base-multilingual-cased,338,1,first,0.4253731343283582,0.5986733001658375,0.6467661691542288,0.5190713101160862
distilbert-base-multilingual-cased,338,1,average,0.42512479201331116,0.5973377703826954,0.6493344425956739,0.521630615640599
bert-base-german-cased,338,1,max,0.44627418690819265,0.6298888431453273,0.659942363112392,0.5376698229724165
bert-base-german-cased,338,1,simple,0.15227127319257835,0.4894433781190019,0.39987204094689704,0.18937939859245043
bert-base-german-cased,338,1,first,0.4422523633374435,0.626387176325524,0.6584463625154131,0.5359638306617345
bert-base-german-cased,338,1,average,0.44590703414232824,0.6293706293706294,0.6606334841628959,0.5388728918140683
xlm-roberta-base,338,1,max,0.2861602497398543,0.5931321540062434,0.5775234131113424,0.3714880332986472
xlm-roberta-base,338,1,simple,0.14466203411244472,0.45293746051800376,0.3796588755527479,0.1749842072015161
xlm-roberta-base,338,1,first,0.2638822971048885,0.668248694826768,0.6022781205505459,0.33981964878974846
xlm-roberta-base,338,1,average,0.26582890285161914,0.6611889801836635,0.5983566940550991,0.34316094731754476
bert-base-german-cased-oldvocab,338,1,max,0.40509554140127385,0.5825902335456475,0.6420382165605096,0.5104033970276008
bert-base-german-cased-oldvocab,338,1,simple,0.14106789716545814,0.4535266974291364,0.38793671720500994,0.17205009887936717
bert-base-german-cased-oldvocab,338,1,first,0.40033927056827817,0.5810008481764207,0.6399491094147582,0.5072094995759119
bert-base-german-cased-oldvocab,338,1,average,0.405267629566695,0.5836873406966864,0.6410365335598981,0.5089209855564995
GottBERT_base_last,338,1,max,0.18447412353923207,0.41986644407345575,0.4394824707846411,0.25709515859766274
GottBERT_base_last,338,1,simple,0.08623548922056384,0.3198294243070362,0.28808339256100446,0.12177209192134564
GottBERT_base_last,338,1,first,0.1646630236794171,0.48524590163934433,0.458287795992714,0.22586520947176683
GottBERT_base_last,338,1,average,0.17191097467382963,0.47889485801995396,0.4585571757482732,0.23791250959324636
bert-base-german-europeana-cased,338,1,max,0.44869706840390877,0.6327361563517915,0.655130293159609,0.5244299674267101
bert-base-german-europeana-cased,338,1,simple,0.14227514885615794,0.48762143528674395,0.38577248511438417,0.1654653713569414
bert-base-german-europeana-cased,338,1,first,0.44606650446066504,0.6293592862935928,0.6520681265206812,0.5206812652068127
bert-base-german-europeana-cased,338,1,average,0.4483319772172499,0.6322213181448332,0.6545972335231897,0.5240032546786004
distilbert-base-multilingual-cased,168,1,max,0.36749116607773846,0.536317235963879,0.6010993325480959,0.4727129956811935
distilbert-base-multilingual-cased,168,1,simple,0.17054263565891473,0.41085271317829464,0.3920691711389386,0.22599880739415623
distilbert-base-multilingual-cased,168,1,first,0.3695906432748538,0.5348927875243665,0.6003898635477584,0.47407407407407404
distilbert-base-multilingual-cased,168,1,average,0.3696162881754111,0.5356303837118246,0.6014095536413469,0.47533281127642907
xlm-roberta-base,168,1,max,0.25012309207287053,0.4933530280649926,0.5647464303298868,0.363367799113737
xlm-roberta-base,168,1,simple,0.12750673451062555,0.36575875486381326,0.374139479197845,0.18617180484884766
xlm-roberta-base,168,1,first,0.22123104371097235,0.5370205173951829,0.5798394290811775,0.33184656556645853
xlm-roberta-base,168,1,average,0.23425925925925925,0.5398148148148147,0.5782407407407406,0.3425925925925926
GottBERT_base_last,168,1,max,0.24213333333333334,0.4906666666666667,0.5349333333333334,0.35306666666666664
GottBERT_base_last,168,1,simple,0.1312127236580517,0.42876076872100727,0.3996023856858847,0.18754141815772032
GottBERT_base_last,168,1,first,0.2144500690289922,0.5853658536585366,0.5752416014726185,0.31385181776346066
GottBERT_base_last,168,1,average,0.22457831325301203,0.5715662650602409,0.567710843373494,0.32578313253012053
bert-base-german-cased-oldvocab,168,1,max,0.37280537915577133,0.537915577138588,0.5943220022413148,0.46843481509152035
bert-base-german-cased-oldvocab,168,1,simple,0.11615044247787609,0.396570796460177,0.3412610619469027,0.1471238938053097
bert-base-german-cased-oldvocab,168,1,first,0.36525612472160357,0.5308092056421678,0.5898292501855976,0.4632516703786192
bert-base-german-cased-oldvocab,168,1,average,0.3710879284649776,0.5357675111773472,0.592026825633383,0.46572280178837555
bert-base-german-europeana-cased,168,1,max,0.35960044395116536,0.5253422123566408,0.5860155382907881,0.46022937476877546
bert-base-german-europeana-cased,168,1,simple,0.11520737327188939,0.4084101382488479,0.3519585253456221,0.14861751152073735
bert-base-german-europeana-cased,168,1,first,0.3564575645756457,0.522509225092251,0.5841328413284133,0.4583025830258303
bert-base-german-europeana-cased,168,1,average,0.35840707964601776,0.523598820058997,0.5848082595870207,0.45943952802359883
bert-base-german-cased,168,1,max,0.3877068557919622,0.5516154452324666,0.6221434200157605,0.4909377462568951
bert-base-german-cased,168,1,simple,0.13415384615384612,0.42892307692307696,0.3812307692307692,0.17353846153846156
bert-base-german-cased,168,1,first,0.384433962264151,0.5471698113207547,0.6194968553459119,0.48820754716981135
bert-base-german-cased,168,1,average,0.38664047151277015,0.550098231827112,0.6204322200392927,0.48958742632612967
distilbert-base-multilingual-cased,698,2,max,0.4253164556962025,0.5907172995780591,0.6278481012658228,0.5037974683544304
distilbert-base-multilingual-cased,698,2,simple,0.1922077922077922,0.45779220779220775,0.40324675324675324,0.2253246753246753
distilbert-base-multilingual-cased,698,2,first,0.4217171717171717,0.5900673400673401,0.6241582491582491,0.4983164983164983
distilbert-base-multilingual-cased,698,2,average,0.42495784148397975,0.5910623946037099,0.6264755480607083,0.5025295109612142
xlm-roberta-base,698,2,max,0.308083375699034,0.6019318759532283,0.5693950177935944,0.3711235383833249
xlm-roberta-base,698,2,simple,0.12689901697944594,0.4295501936252606,0.34584450402144773,0.14953827822460533
xlm-roberta-base,698,2,first,0.28451882845188287,0.6564388656438865,0.5857740585774058,0.34309623430962344
xlm-roberta-base,698,2,average,0.2882797731568998,0.6512287334593573,0.5836483931947071,0.3487712665406427
GottBERT_base_last,698,2,max,0.27169421487603307,0.5113636363636364,0.5356404958677686,0.3729338842975206
GottBERT_base_last,698,2,simple,0.12548784148904232,0.4172921044731312,0.35304713299309515,0.14770339237466226
GottBERT_base_last,698,2,first,0.23739402052655062,0.5979473449352968,0.567157518964748,0.32663989290495316
GottBERT_base_last,698,2,average,0.24803331790837577,0.5830633965756594,0.5645534474780194,0.3396575659416937
bert-base-german-cased-oldvocab,698,2,max,0.3995205753096284,0.5721134638433878,0.6120655213743507,0.48341989612465047
bert-base-german-cased-oldvocab,698,2,simple,0.12599822537710736,0.42413487133984024,0.3510795622596865,0.14965986394557823
bert-base-german-cased-oldvocab,698,2,first,0.39460103215561726,0.5660976578007145,0.6085748312822549,0.47876141325922983
bert-base-german-cased-oldvocab,698,2,average,0.3992015968063872,0.5716566866267465,0.612375249500998,0.48383233532934133
bert-base-german-cased,698,2,max,0.4275362318840579,0.5982286634460547,0.6296296296296297,0.5048309178743962
bert-base-german-cased,698,2,simple,0.1387458345955771,0.4507724931838837,0.3659497122084217,0.16237503786731292
bert-base-german-cased,698,2,first,0.4245585874799358,0.5947030497592296,0.627207062600321,0.5032102728731942
bert-base-german-cased,698,2,average,0.42765273311897106,0.597266881028939,0.6290192926045017,0.5048231511254019
bert-base-german-europeana-cased,698,2,max,0.44230769230769224,0.6177884615384616,0.6358173076923078,0.5112179487179487
bert-base-german-europeana-cased,698,2,simple,0.13523347483323225,0.46937537901758636,0.3635536688902365,0.15100060642813828
bert-base-german-europeana-cased,698,2,first,0.4408945686900958,0.6182108626198083,0.6313897763578274,0.5047923322683706
bert-base-german-europeana-cased,698,2,average,0.4429315178213857,0.6175410492591109,0.6359631557869443,0.5118141770124148
xlm-roberta-base,338,2,max,0.25638406537282943,0.5474974463738508,0.5546475995914198,0.35750766087844743
xlm-roberta-base,338,2,simple,0.10785463071512308,0.39214536928487687,0.33880422039859326,0.14243845252051582
xlm-roberta-base,338,2,first,0.23486238532110093,0.6,0.5720183486238531,0.3229357798165137
xlm-roberta-base,338,2,average,0.23728813559322035,0.5941619585687382,0.57015065913371,0.3305084745762712
GottBERT_base_last,338,2,max,0.22266800401203612,0.4583751253761284,0.5115346038114343,0.33701103309929786
GottBERT_base_last,338,2,simple,0.09645943685531085,0.3468079174797881,0.3175355450236967,0.12266517981600222
GottBERT_base_last,338,2,first,0.19318671841310908,0.5191893057352307,0.532557136696852,0.2923673997412678
GottBERT_base_last,338,2,average,0.20252025202520255,0.5193519351935193,0.5342034203420342,0.30603060306030605
bert-base-german-europeana-cased,338,2,max,0.39524752475247527,0.56,0.6130693069306931,0.4863366336633663
bert-base-german-europeana-cased,338,2,simple,0.11796569365031598,0.4255191092386398,0.35239241649112246,0.14143845922359313
bert-base-german-europeana-cased,338,2,first,0.3935203476886606,0.5586724614776769,0.6120110628210195,0.4851837218490715
bert-base-german-europeana-cased,338,2,average,0.3968379446640316,0.5596837944664032,0.6126482213438735,0.4861660079051383
distilbert-base-multilingual-cased,338,2,max,0.3586261980830671,0.5311501597444089,0.5930511182108626,0.46565495207667734
distilbert-base-multilingual-cased,338,2,simple,0.15696806923306475,0.40047746941211576,0.3709340495374515,0.1975529692629066
distilbert-base-multilingual-cased,338,2,first,0.35779452598175326,0.5291550971836573,0.5946053153510512,0.46886156287187625
distilbert-base-multilingual-cased,338,2,average,0.3607342378292099,0.5307262569832402,0.5941739824421388,0.46767757382282527
bert-base-german-cased-oldvocab,338,2,max,0.38215554678247143,0.5558626135017765,0.6016581129095935,0.47374654559810503
bert-base-german-cased-oldvocab,338,2,simple,0.12263876780005811,0.41208950886370244,0.34437663469921537,0.14763150247021214
bert-base-german-cased-oldvocab,338,2,first,0.37867502940023523,0.5550764406115248,0.599764798118385,0.47197177577420624
bert-base-german-cased-oldvocab,338,2,average,0.38140267927501964,0.5571315996847912,0.6008668242710796,0.47202521670606773
bert-base-german-cased,338,2,max,0.41456582633053224,0.5690276110444177,0.617046818727491,0.4977991196478591
bert-base-german-cased,338,2,simple,0.13309352517985612,0.4304556354916067,0.36121103117506,0.16127098321342925
bert-base-german-cased,338,2,first,0.40950495049504954,0.5671287128712871,0.6198019801980198,0.4998019801980198
bert-base-german-cased,338,2,average,0.4135728542914172,0.5684630738522954,0.6159680638722554,0.49660678642714573
GottBERT_base_last,168,2,max,0.22636363636363638,0.45454545454545453,0.5004545454545454,0.32999999999999996
GottBERT_base_last,168,2,simple,0.09034806220686249,0.3312762280918292,0.29967909158232536,0.11700814613675634
GottBERT_base_last,168,2,first,0.19131771033422973,0.4994237418363426,0.5067230119093354,0.2812139838647714
GottBERT_base_last,168,2,average,0.20579828501429157,0.5038791343405472,0.5165373621886485,0.30053082890975913
xlm-roberta-base,168,2,max,0.23031496062992124,0.514763779527559,0.5506889763779528,0.34448818897637795
xlm-roberta-base,168,2,simple,0.12281757977122218,0.38169777242624925,0.3564118001204094,0.1613485851896448
xlm-roberta-base,168,2,first,0.20954079358002678,0.5519393669193046,0.555506018724922,0.3085153811859117
xlm-roberta-base,168,2,average,0.2163153070577452,0.5563703024747938,0.5595783684692942,0.31805682859761686
bert-base-german-cased-oldvocab,168,2,max,0.3143322475570033,0.491042345276873,0.5667752442996743,0.4291530944625408
bert-base-german-cased-oldvocab,168,2,simple,0.09115281501340482,0.3663985701519214,0.32797140303842715,0.128686327077748
bert-base-german-cased-oldvocab,168,2,first,0.31705364291433147,0.4923939151321056,0.5644515612489992,0.4267413931144916
bert-base-german-cased-oldvocab,168,2,average,0.3137413862991488,0.4912849614916903,0.5662748277259829,0.42886096473449536
bert-base-german-cased,168,2,max,0.3539127015336217,0.5057019268580417,0.5969327565867087,0.47109712937475423
bert-base-german-cased,168,2,simple,0.1164021164021164,0.38271604938271603,0.34891240446795996,0.1504997060552616
bert-base-german-cased,168,2,first,0.3513408472600078,0.5036921881072678,0.5942479595802564,0.46793626117372716
bert-base-german-cased,168,2,average,0.35054773082942103,0.5054773082942097,0.5938967136150235,0.4671361502347418
distilbert-base-multilingual-cased,168,2,max,0.31826241134751776,0.4787234042553191,0.5687056737588653,0.4352836879432624
distilbert-base-multilingual-cased,168,2,simple,0.15395381385584322,0.384184744576627,0.3901329601119664,0.21693491952414276
distilbert-base-multilingual-cased,168,2,first,0.31704095112285335,0.4808454425363276,0.5702333773667988,0.43593130779392336
distilbert-base-multilingual-cased,168,2,average,0.3187250996015937,0.47985834440017705,0.5692784417884019,0.4355909694555113
bert-base-german-europeana-cased,168,2,max,0.3368336025848142,0.4911147011308562,0.5949111470113085,0.46445880452342486
bert-base-german-europeana-cased,168,2,simple,0.10464758387196062,0.3785780240073869,0.3502616189596799,0.1440443213296399
bert-base-german-europeana-cased,168,2,first,0.3424657534246575,0.4939564867042707,0.5962933118452861,0.467365028203062
bert-base-german-europeana-cased,168,2,average,0.33870967741935487,0.4911290322580646,0.5955645161290323,0.4661290322580645
xlm-roberta-base,698,3,max,0.30622009569377995,0.5933014354066986,0.5970228601807549,0.3902179691653375
xlm-roberta-base,698,3,simple,0.14430960970810103,0.4526074122663168,0.38832404066907183,0.17645129550672353
xlm-roberta-base,698,3,first,0.2892156862745098,0.661764705882353,0.6240196078431373,0.36568627450980395
xlm-roberta-base,698,3,average,0.28956565152271596,0.6510234648027958,0.6185721417873191,0.3694458312531203
bert-base-german-cased-oldvocab,698,3,max,0.44551422319474837,0.6205689277899343,0.6691466083150984,0.537417943107221
bert-base-german-cased-oldvocab,698,3,simple,0.15431266846361186,0.47911051212938,0.4009433962264151,0.18396226415094338
bert-base-german-cased-oldvocab,698,3,first,0.43709185894645186,0.6173269481932955,0.6626033957335655,0.5285154549412278
bert-base-german-cased-oldvocab,698,3,average,0.44405594405594406,0.6206293706293706,0.6678321678321678,0.5358391608391608
bert-base-german-cased,698,3,max,0.4575613959500215,0.6419646704006895,0.6721240844463592,0.5394226626454114
bert-base-german-cased,698,3,simple,0.1596244131455399,0.500335345405768,0.4084507042253521,0.18913480885311873
bert-base-german-cased,698,3,first,0.45697074010327016,0.6411359724612735,0.6721170395869189,0.5395869191049915
bert-base-german-cased,698,3,average,0.4577586206896552,0.6422413793103448,0.671551724137931,0.5387931034482758
bert-base-german-europeana-cased,698,3,max,0.44171779141104295,0.6241308793456032,0.6564417177914111,0.5267893660531696
bert-base-german-europeana-cased,698,3,simple,0.14967259120673526,0.47832865606485814,0.38696601184908014,0.173370751481135
bert-base-german-europeana-cased,698,3,first,0.44062244062244066,0.6265356265356266,0.656019656019656,0.5249795249795249
bert-base-german-europeana-cased,698,3,average,0.44117647058823534,0.6233660130718954,0.6552287581699346,0.5253267973856209
GottBERT_base_last,698,3,max,0.32679738562091504,0.5697167755991285,0.5887799564270153,0.42156862745098034
GottBERT_base_last,698,3,simple,0.1636963696369637,0.4726072607260726,0.4089108910891089,0.19603960396039602
GottBERT_base_last,698,3,first,0.28803051979017646,0.6695278969957082,0.6289938006676205,0.3748211731044349
GottBERT_base_last,698,3,average,0.296078431372549,0.6519607843137256,0.6200980392156862,0.38039215686274513
distilbert-base-multilingual-cased,698,3,max,0.47027506654835843,0.6468500443655723,0.6818988464951198,0.5554569653948536
distilbert-base-multilingual-cased,698,3,simple,0.2352117605880294,0.5145257262863143,0.45852292614630735,0.27441372068603437
distilbert-base-multilingual-cased,698,3,first,0.4716312056737588,0.6489361702127661,0.6835106382978724,0.5576241134751774
distilbert-base-multilingual-cased,698,3,average,0.47027506654835843,0.6468500443655723,0.6818988464951198,0.5554569653948536
distilbert-base-multilingual-cased,338,3,max,0.4022015241320915,0.5647756138865367,0.6371718882303133,0.5012701100762066
distilbert-base-multilingual-cased,338,3,simple,0.19507389162561575,0.44006568144499186,0.42594417077175695,0.2482758620689655
distilbert-base-multilingual-cased,338,3,first,0.39831578947368423,0.5633684210526315,0.6370526315789473,0.5010526315789473
distilbert-base-multilingual-cased,338,3,average,0.4037240795598815,0.5653829877274651,0.6381718154887854,0.5035971223021584
bert-base-german-cased-oldvocab,338,3,max,0.4096283783783784,0.5878378378378378,0.6326013513513513,0.4957770270270271
bert-base-german-cased-oldvocab,338,3,simple,0.12841703750794659,0.44183089637635087,0.37094723458359824,0.1589319771137953
bert-base-german-cased-oldvocab,338,3,first,0.4052013422818792,0.5805369127516778,0.6308724832214765,0.4958053691275167
bert-base-german-cased-oldvocab,338,3,average,0.40960809102402024,0.5882848714707122,0.6316898440792246,0.4955752212389381
bert-base-german-europeana-cased,338,3,max,0.43481989708404806,0.6037735849056604,0.6599485420240138,0.5291595197255574
bert-base-german-europeana-cased,338,3,simple,0.14660033167495853,0.47230514096185744,0.39635157545605304,0.175787728026534
bert-base-german-europeana-cased,338,3,first,0.43422733077905495,0.6036611323967647,0.6581524052788421,0.5278842060451256
bert-base-german-europeana-cased,338,3,average,0.43481989708404806,0.6037735849056604,0.6599485420240138,0.5283018867924528
xlm-roberta-base,338,3,max,0.27931214174048985,0.5315268368942158,0.5622720166753516,0.36685773840541946
xlm-roberta-base,338,3,simple,0.11491442542787288,0.3905867970660146,0.35177261613691935,0.15464547677261617
xlm-roberta-base,338,3,first,0.2574538570752485,0.5915759583530525,0.5858968291528632,0.3369616658778987
xlm-roberta-base,338,3,average,0.25872093023255816,0.5862403100775194,0.5780038759689922,0.3391472868217055
bert-base-german-cased,338,3,max,0.3941487200325071,0.5591223080048761,0.6322633075985373,0.49817147501015846
bert-base-german-cased,338,3,simple,0.13623810984964715,0.4252838293955201,0.3725069039582694,0.16385394292727828
bert-base-german-cased,338,3,first,0.393030794165316,0.5583468395461912,0.6324959481361426,0.5
bert-base-german-cased,338,3,average,0.39674796747967483,0.5601626016260163,0.6341463414634146,0.5016260162601627
GottBERT_base_last,338,3,max,0.26492942453854507,0.50271444082519,0.5336590662323563,0.34744842562432143
GottBERT_base_last,338,3,simple,0.12764528048370843,0.4192139737991266,0.37050722203560627,0.15586160564326504
GottBERT_base_last,338,3,first,0.23774866569626393,0.5880640465793305,0.5701115963124698,0.31246967491508976
GottBERT_base_last,338,3,average,0.24549098196392785,0.5701402805611222,0.564629258517034,0.3246492985971944
xlm-roberta-base,168,3,max,0.23634453781512607,0.48214285714285715,0.5320378151260504,0.33088235294117646
xlm-roberta-base,168,3,simple,0.10542445602206557,0.3512105424456022,0.3426294820717131,0.14403922770456637
xlm-roberta-base,168,3,first,0.21825023518344308,0.535277516462841,0.559266227657573,0.3057384760112888
xlm-roberta-base,168,3,average,0.22354694485842028,0.5096870342771983,0.5459513164431197,0.3149528067560855
bert-base-german-cased,168,3,max,0.3932312651087832,0.556809024979855,0.6144238517324738,0.4826752618855762
bert-base-german-cased,168,3,simple,0.1295843520782396,0.42237163814180934,0.36552567237163813,0.15953545232273836
bert-base-german-cased,168,3,first,0.38437001594896336,0.5494417862838916,0.6092503987240829,0.4760765550239235
bert-base-german-cased,168,3,average,0.3938906752411575,0.5554662379421221,0.6149517684887459,0.48392282958199356
distilbert-base-multilingual-cased,168,3,max,0.3095339888841385,0.45746045318512185,0.6156477126977341,0.4762719110731081
distilbert-base-multilingual-cased,168,3,simple,0.15328223925358214,0.3552149283572143,0.41686104631789406,0.23725424858380537
distilbert-base-multilingual-cased,168,3,first,0.2992392223161454,0.44716821639898563,0.6065088757396451,0.4649196956889265
distilbert-base-multilingual-cased,168,3,average,0.306183368869936,0.45458422174840085,0.6132196162046908,0.47249466950959484
GottBERT_base_last,168,3,max,0.27497194163860833,0.5173961840628508,0.5359147025813692,0.3636363636363636
GottBERT_base_last,168,3,simple,0.14581142656852436,0.43463021381002453,0.39291973361373994,0.18156326673676831
GottBERT_base_last,168,3,first,0.25012260912211876,0.5934281510544385,0.5806768023540952,0.33251593918587546
GottBERT_base_last,168,3,average,0.25984654731457807,0.5841432225063939,0.5728900255754475,0.3457800511508951
bert-base-german-europeana-cased,168,3,max,0.3895467537770519,0.5626786443446306,0.6178031849734587,0.48101265822784817
bert-base-german-europeana-cased,168,3,simple,0.13853658536585364,0.4474796747967479,0.38959349593495934,0.175609756097561
bert-base-german-europeana-cased,168,3,first,0.3847402597402597,0.5568181818181818,0.6148538961038961,0.4780844155844156
bert-base-german-europeana-cased,168,3,average,0.3897268650631879,0.562576437015899,0.6184264166326946,0.48104362005707296
bert-base-german-cased-oldvocab,168,3,max,0.35527426160337555,0.5130801687763713,0.5978902953586498,0.4683544303797469
bert-base-german-cased-oldvocab,168,3,simple,0.10347003154574132,0.38801261829653,0.34605678233438486,0.13943217665615143
bert-base-german-cased-oldvocab,168,3,first,0.34732031574574157,0.5093477357706689,0.5928541753219775,0.4603240548400498
bert-base-german-cased-oldvocab,168,3,average,0.3552188552188552,0.5126262626262627,0.5980639730639731,0.468013468013468
distilbert-base-multilingual-cased,698,4,max,0.4951902969468841,0.6616478460895022,0.6884148891677123,0.573818485989126
distilbert-base-multilingual-cased,698,4,simple,0.22587931590835753,0.5117779929009358,0.4440141981284285,0.26395611487576637
distilbert-base-multilingual-cased,698,4,first,0.49498327759197325,0.661371237458194,0.68938127090301,0.5752508361204013
distilbert-base-multilingual-cased,698,4,average,0.4951983298538622,0.6605427974947807,0.6881002087682673,0.5736951983298538
bert-base-german-europeana-cased,698,4,max,0.5165289256198347,0.671900826446281,0.6991735537190082,0.587603305785124
bert-base-german-europeana-cased,698,4,simple,0.1657634682817979,0.5221549250876634,0.4099458080969079,0.19126554032515145
bert-base-german-europeana-cased,698,4,first,0.5175113308611454,0.6740832303255048,0.6988051091882984,0.5867325916769673
bert-base-german-europeana-cased,698,4,average,0.5158893933140735,0.6718943458522493,0.6978951712752787,0.5860503508047874
xlm-roberta-base,698,4,max,0.36224489795918363,0.6357142857142857,0.6071428571428572,0.4306122448979592
xlm-roberta-base,698,4,simple,0.15058965830057455,0.4753553069247052,0.3758693680072573,0.17175687934684003
xlm-roberta-base,698,4,first,0.3297524521251752,0.7127510509107894,0.6328818309201307,0.3923400280242877
xlm-roberta-base,698,4,average,0.3355450236966825,0.7033175355450237,0.6293838862559241,0.39810426540284366
GottBERT_base_last,698,4,max,0.33900051519835134,0.5780525502318392,0.5847501287995878,0.42761463163317875
GottBERT_base_last,698,4,simple,0.14929056138186306,0.4750154225786551,0.38957433682911785,0.1770512029611351
GottBERT_base_last,698,4,first,0.2971014492753623,0.6784420289855072,0.6173007246376812,0.3731884057971015
GottBERT_base_last,698,4,average,0.3105882352941176,0.6607058823529413,0.616470588235294,0.3905882352941177
bert-base-german-cased-oldvocab,698,4,max,0.4559967253376995,0.619729840360213,0.6520671305771594,0.5329512893982807
bert-base-german-cased-oldvocab,698,4,simple,0.1554858934169279,0.4777429467084639,0.38777429467084634,0.18056426332288403
bert-base-german-cased-oldvocab,698,4,first,0.4546938775510205,0.6195918367346939,0.6522448979591836,0.5330612244897959
bert-base-german-cased-oldvocab,698,4,average,0.45473166734944687,0.6194182712003277,0.6526013928717739,0.5325686194182712
bert-base-german-cased,698,4,max,0.47954637505062775,0.6496557310652086,0.680032401782098,0.5621709194005671
bert-base-german-cased,698,4,simple,0.15940224159402241,0.49875466998754675,0.39975093399750933,0.1843088418430884
bert-base-german-cased,698,4,first,0.4803564196030781,0.6472255974078575,0.6824625354394492,0.5662211421628189
bert-base-german-cased,698,4,average,0.47954637505062775,0.6488456865127582,0.6804374240583233,0.5629809639530174
bert-base-german-cased-oldvocab,338,4,max,0.41515390686661396,0.5643251775848462,0.6444356748224151,0.5256511444356748
bert-base-german-cased-oldvocab,338,4,simple,0.14038231780167262,0.42771804062126645,0.3769414575866189,0.17383512544802868
bert-base-german-cased-oldvocab,338,4,first,0.4155538098978791,0.5632364493322859,0.6449332285938728,0.5278868813825609
bert-base-german-cased-oldvocab,338,4,average,0.4162396531336224,0.5652345289712258,0.6444619629483642,0.525817895151754
bert-base-german-cased,338,4,max,0.4547657512116317,0.6017770597738288,0.6732633279483037,0.5549273021001615
bert-base-german-cased,338,4,simple,0.15089672232529375,0.4644403215831788,0.39363017934446504,0.17810760667903525
bert-base-german-cased,338,4,first,0.4544721998388397,0.6027397260273973,0.6732473811442384,0.5551974214343272
bert-base-german-cased,338,4,average,0.45421540943929006,0.600242033077854,0.6732553448971359,0.5558693021379589
GottBERT_base_last,338,4,max,0.2794715447154472,0.5172764227642276,0.5553861788617885,0.38821138211382117
GottBERT_base_last,338,4,simple,0.13652912621359226,0.43021844660194175,0.3786407766990291,0.16929611650485438
GottBERT_base_last,338,4,first,0.2454261490406069,0.6140116019634091,0.5908076751450245,0.33913431503792946
GottBERT_base_last,338,4,average,0.25695732838589985,0.598330241187384,0.5858070500927645,0.3562152133580705
bert-base-german-europeana-cased,338,4,max,0.4455795677799608,0.6066797642436149,0.655795677799607,0.5343811394891944
bert-base-german-europeana-cased,338,4,simple,0.13027959547888163,0.4604402141582391,0.3768590124925639,0.1606186793575253
bert-base-german-europeana-cased,338,4,first,0.44557556773688334,0.6045418950665623,0.6566170712607674,0.5356303837118246
bert-base-german-europeana-cased,338,4,average,0.4447937131630649,0.6074656188605109,0.655795677799607,0.5335952848722987
